iter	Logloss
0	0.6653272085
1	0.6419994207
2	0.6189536818
3	0.6002284055
4	0.5884066844
5	0.5736460054
6	0.5625651168
7	0.5491079305
8	0.538455102
9	0.5284225663
10	0.5201288803
11	0.5128711988
12	0.5059667055
13	0.4985717539
14	0.491692136
15	0.4868751055
16	0.4815600137
17	0.4773614713
18	0.4736236487
19	0.4700763559
20	0.466912615
21	0.4649377213
22	0.4626750352
23	0.459623978
24	0.4569369732
25	0.4550612263
26	0.4528366778
27	0.4509911233
28	0.4491390762
29	0.4473753082
30	0.4460944035
31	0.4446298221
32	0.4432464211
33	0.4417698643
34	0.4404415453
35	0.4392945255
36	0.4378773735
37	0.4364156229
38	0.435490289
39	0.4346959562
40	0.4334757642
41	0.432257415
42	0.4316564425
43	0.4304393737
44	0.4294982944
45	0.4287369793
46	0.4280886631
47	0.4272830981
48	0.426566648
49	0.4259998413
50	0.4253586145
51	0.4248355503
52	0.4243997241
53	0.4238034883
54	0.4234297269
55	0.4226670315
56	0.422223927
57	0.4217616275
58	0.4208849764
59	0.4203938109
60	0.4198413709
61	0.4195340365
62	0.4191836109
63	0.4187245139
64	0.4182718715
65	0.4177827466
66	0.4173241611
67	0.4169380527
68	0.4165490824
69	0.4162428828
70	0.4159497362
71	0.4153539194
72	0.4151350751
73	0.41479884
74	0.4145021534
75	0.4142339165
76	0.4138960915
77	0.413595515
78	0.4131534146
79	0.4128457412
80	0.4126634188
81	0.4122197675
82	0.4120792349
83	0.4118337677
84	0.4116186985
85	0.4114702532
86	0.4112895209
87	0.4111198423
88	0.4109786476
89	0.4107613217
90	0.4104803795
91	0.4103182888
92	0.4101773619
93	0.4098880482
94	0.4097508453
95	0.4095869075
96	0.4094306619
97	0.4092432324
98	0.4089964806
99	0.408874467
100	0.4087363634
101	0.4086274502
102	0.4084249702
103	0.4082305206
104	0.4080519758
105	0.4079683921
106	0.4078032756
107	0.4076165631
108	0.4073659596
109	0.4073161522
110	0.4071934643
111	0.4070871478
112	0.4070185164
113	0.4067830841
114	0.4066738987
115	0.4064659993
116	0.4063885752
117	0.4063175603
118	0.4062635172
119	0.4062321629
120	0.4061312737
121	0.4060760197
122	0.4059566197
123	0.4058775631
124	0.4057438655
125	0.4056993395
126	0.4056012552
127	0.4054991429
128	0.4053716341
129	0.4052665439
130	0.405148765
131	0.4050579766
132	0.4049880642
133	0.4048637771
134	0.404782045
135	0.4047311651
136	0.4046781353
137	0.4046030957
138	0.4045262612
139	0.4043872973
140	0.4042827963
141	0.4040969997
142	0.4040167451
143	0.403907075
144	0.4038206722
145	0.4037134574
146	0.4036774753
147	0.4036104333
148	0.4035263276
149	0.4034808088
