iter	Passed	Remaining
0	1	225
1	2	208
2	4	201
3	5	197
4	6	192
5	7	189
6	9	185
7	10	184
8	11	183
9	12	181
10	14	180
11	15	179
12	17	180
13	18	180
14	19	178
15	21	176
16	22	174
17	23	172
18	24	171
19	26	169
20	27	167
21	28	165
22	29	164
23	31	163
24	32	161
25	33	160
26	34	158
27	36	157
28	37	156
29	38	154
30	39	153
31	41	152
32	42	150
33	43	149
34	45	147
35	46	146
36	47	145
37	48	143
38	50	142
39	51	141
40	52	140
41	54	138
42	55	137
43	56	136
44	57	135
45	59	133
46	60	132
47	61	130
48	62	129
49	63	127
50	65	126
51	66	124
52	67	123
53	68	122
54	70	120
55	71	119
56	72	118
57	73	117
58	75	116
59	76	114
60	77	113
61	78	111
62	80	110
63	81	109
64	82	108
65	83	106
66	85	105
67	86	104
68	87	102
69	88	101
70	90	100
71	91	99
72	92	97
73	93	96
74	94	94
75	96	93
76	97	92
77	98	91
78	100	89
79	101	88
80	102	87
81	103	86
82	105	84
83	106	83
84	107	82
85	108	81
86	110	79
87	111	78
88	112	77
89	113	75
90	115	74
91	116	73
92	117	72
93	119	70
94	120	69
95	121	68
96	123	67
97	124	66
98	125	64
99	127	63
100	128	62
101	129	61
102	131	59
103	132	58
104	133	57
105	134	56
106	136	54
107	137	53
108	138	52
109	139	50
110	141	49
111	142	48
112	143	46
113	144	45
114	145	44
115	147	43
116	148	41
117	149	40
118	150	39
119	152	38
120	153	36
121	154	35
122	155	34
123	157	32
124	158	31
125	159	30
126	160	29
127	162	27
128	163	26
129	165	25
130	166	24
131	167	22
132	169	21
133	170	20
134	172	19
135	173	17
136	174	16
137	176	15
138	177	14
139	178	12
140	180	11
141	181	10
142	183	8
143	184	7
144	185	6
145	186	5
146	188	3
147	189	2
148	190	1
149	191	0
